Fruit,Temp,Humid (%),Light (Fux),CO2 (pmm),Class
orange,22,95,7.358649263,361,good
orange,24,95,14.83589827,370,bad
pineapple,25,95,10.10404473,355,bad
banana,25,89,20.17964285,388,good
tomato,23,90,12.62144823,316,good
orange,23,95,5.809598838,347,good
pineapple,25,95,10.28117628,365,bad
tomato,25,95,14.67251295,380,bad
banana,24,95,19.00030193,292,bad
pineapple,24,95,14.51078894,315,good
tomato,26,93,6.613669965,399,good
pineapple,22,84,12.34050263,322,good
pineapple,25,95,12.27113269,411,bad
orange,24,95,16.38466179,391,bad
tomato,24,93,10.58215896,377,good
tomato,24,95,16.29477154,348,bad
orange,22,95,6.613669965,244,good
pineapple,24,95,14.1136139,317,good
tomato,25,95,13.80304952,379,bad
pineapple,23,93,12.62144823,340,good
pineapple,25,95,11.46485093,455,bad
orange,23,95,8.775098629,191,good
orange,22,95,7.969740423,379,good
banana,26,90,19.95991509,299,good
tomato,23,87,6.48823229,292,good
tomato,23,91,9.987371503,358,good
orange,24,95,14.91822038,381,bad
tomato,22,93,11.92938136,354,good
tomato,23,89,8.619414571,297,good
banana,24,94,19.20950925,314,good
orange,22,95,4.538130868,342,good
pineapple,22,91,12.76402932,338,good
tomato,24,92,11.20647613,374,good
banana,24,86,13.57421101,335,good
pineapple,24,95,14.1136139,315,good
tomato,26,88,7.450253315,396,good
orange,24,95,14.83589827,406,bad
orange,22,95,7.450253315,299,good
banana,24,95,12.48027818,249,bad
orange,23,95,6.655874013,244,good
banana,25,89,19.31496687,383,good
pineapple,25,95,11.20647613,320,bad
tomato,23,90,12.90803823,332,good
pineapple,25,95,11.59594835,427,bad
tomato,25,95,12.98058343,387,bad
orange,22,95,6.740875089,251,good
banana,25,86,13.65010619,346,good
orange,22,95,8.516848104,373,good
tomato,23,89,8.568009903,310,good
tomato,24,95,16.02789778,346,bad
orange,22,95,7.000692513,347,good
orange,22,95,6.826673276,292,good
orange,23,95,4.47356027,331,good
pineapple,23,82,12.62144823,331,good
orange,22,95,7.404343951,351,good
tomato,23,91,13.42356205,338,good
pineapple,25,95,11.39978246,314,bad
orange,24,95,15.25176672,368,bad
orange,24,95,16.02789778,376,bad
banana,25,86,13.57421101,349,good
orange,23,95,14.75399666,380,bad
orange,22,95,6.364536513,256,good
tomato,23,90,12.48027818,329,good
orange,23,95,4.904260592,348,good
banana,24,95,16.38466179,254,bad
tomato,24,95,14.35070581,396,good
banana,24,95,12.48027818,251,bad
orange,24,95,16.29477154,404,bad
banana,25,86,13.72638492,348,good
tomato,24,95,11.99705843,286,bad
tomato,24,95,16.29477154,385,bad
orange,23,95,15.50647254,218,bad
pineapple,25,95,11.59594835,436,bad
orange,22,95,9.039550676,168,good
banana,25,85,13.72638492,345,good
orange,24,95,14.75399666,382,bad
banana,26,95,17.21524677,317,good
orange,22,95,7.873279406,166,good
banana,25,86,13.27441976,356,good
pineapple,25,95,11.01598084,291,bad
orange,24,95,15.08413665,364,bad
banana,24,95,12.55068787,251,bad
tomato,23,90,12.69256136,318,good
banana,26,94,14.43054353,302,good
tomato,23,90,12.55068787,329,good
orange,22,95,7.0889296,292,good
tomato,25,95,15.42113219,403,bad
orange,23,95,4.904260592,349,good
banana,25,89,19.10462223,403,good
tomato,26,94,6.48823229,402,good
pineapple,22,95,12.90803823,335,good
orange,22,95,6.740875089,260,good
orange,23,95,14.59144457,398,bad
orange,23,95,4.702223982,343,good
tomato,22,90,13.20040797,324,good
pineapple,25,95,9.987371503,310,bad
tomato,24,95,12.98058343,301,bad
tomato,26,91,6.956882353,407,good
banana,24,95,16.74896501,250,bad
banana,26,91,20.40179801,298,good
tomato,23,91,8.364807255,371,good
tomato,24,89,13.20040797,412,good
pineapple,22,95,12.69256136,340,good
tomato,23,90,12.76402932,329,good
banana,26,95,20.85352641,405,good
pineapple,24,95,14.03538213,313,good
pineapple,24,95,14.1136139,325,good
orange,24,95,16.74896501,388,bad
banana,26,90,19.20950925,392,good
orange,23,95,4.441500903,336,good
tomato,25,95,12.90803823,374,bad
orange,22,95,6.869873736,296,good
banana,26,95,17.40523312,318,good
orange,24,95,14.83589827,421,bad
tomato,24,88,10.28117628,242,good
banana,25,89,19.00030193,393,good
orange,23,95,4.904260592,317,good
banana,24,95,12.48027818,254,bad
pineapple,25,95,10.04556771,301,bad
orange,22,95,7.404343951,352,good
orange,23,95,14.43054353,211,bad
orange,24,95,14.75399666,407,bad
pineapple,22,95,12.90803823,337,good
pineapple,23,92,12.76402932,339,good
banana,24,95,13.27441976,259,bad
orange,24,95,14.91822038,393,bad
tomato,26,87,7.542720421,415,good
orange,23,95,15.00096563,220,bad
tomato,26,88,7.404343951,391,good
orange,23,95,14.83589827,403,bad
orange,24,95,14.91822038,376,bad
orange,23,95,16.20534945,257,bad
pineapple,22,95,13.80304952,348,good
tomato,23,92,10.22184745,358,good
orange,22,95,7.133358572,292,good
tomato,23,91,8.465927903,363,good
tomato,24,89,8.018312629,291,good
pineapple,23,95,12.34050263,336,good
orange,22,95,6.956882353,352,good
orange,22,95,6.613669965,288,good
orange,24,95,15.16773612,373,bad
banana,26,95,13.95754575,304,good
banana,24,88,14.59144457,321,good
orange,24,95,15.00096563,381,bad
orange,22,95,8.619414571,177,good
banana,25,89,19.95991509,302,good
orange,23,95,15.59225501,261,bad
pineapple,23,95,12.62144823,330,good
orange,24,95,14.67251295,388,bad
pineapple,25,95,12.62144823,404,bad
tomato,23,87,6.529850053,292,good
tomato,24,95,16.11639251,345,bad
tomato,23,89,8.0671142,298,good
pineapple,25,95,11.46485093,322,bad
tomato,24,88,10.16280412,244,good
pineapple,23,95,12.98058343,339,good
tomato,23,90,12.76402932,328,good
orange,22,95,7.358649263,352,good
tomato,24,95,13.05349201,299,bad
banana,25,87,14.1136139,337,good
orange,22,95,9.201267821,181,good
tomato,23,89,8.465927903,313,good
banana,24,86,13.95754575,336,good
tomato,24,95,13.49869706,385,bad
pineapple,25,95,9.8718154,321,bad
banana,26,90,19.20950925,384,good
orange,23,95,15.08413665,253,bad
tomato,24,95,14.59144457,313,bad
orange,22,95,4.47356027,350,good
tomato,25,95,13.95754575,372,bad
tomato,25,95,13.05349201,380,bad
tomato,25,95,13.88010234,392,bad
tomato,24,95,16.38466179,360,bad
tomato,22,93,11.862037,354,good
pineapple,25,95,11.01598084,316,bad
orange,23,95,16.20534945,258,bad
tomato,23,91,8.31460431,370,good
tomato,24,95,11.862037,280,bad
pineapple,25,95,11.72833871,431,bad
orange,23,95,8.31460431,177,good
pineapple,25,95,11.99705843,438,bad
pineapple,24,95,14.03538213,331,good
pineapple,23,95,13.3488037,366,good
pineapple,22,95,13.42356205,332,good
banana,24,95,17.79130513,254,bad
banana,25,86,13.65010619,351,good
tomato,23,88,7.730278953,294,good
banana,24,95,13.3488037,254,bad
pineapple,22,91,12.69256136,334,good
tomato,25,95,15.33623116,316,bad
orange,23,95,8.364807255,175,good
pineapple,25,95,9.814452454,326,bad
banana,26,95,20.85352641,386,good
pineapple,23,95,12.27113269,333,good
orange,22,95,4.938486566,356,good
tomato,25,91,6.405576451,400,good
tomato,23,89,8.619414571,312,good
pineapple,23,95,12.41021712,325,good
orange,22,95,7.0889296,289,good
tomato,23,92,9.814452454,356,good
orange,24,95,16.38466179,256,bad
banana,25,86,12.41021712,344,good
banana,25,87,14.27127328,328,good
tomato,25,93,6.48823229,394,good
orange,24,95,15.59225501,372,bad
pineapple,23,95,13.57421101,361,good
banana,26,94,13.49869706,307,good
orange,23,95,16.11639251,257,bad
pineapple,25,95,13.20040797,405,bad
banana,26,94,15.33623116,304,good
orange,24,95,15.08413665,374,bad
tomato,24,95,11.07916988,356,good
pineapple,25,95,10.04556771,294,bad
tomato,23,94,10.76627794,380,good
pineapple,24,95,14.1136139,333,good
banana,24,93,18.69070341,318,good
pineapple,22,83,12.62144823,321,good
orange,22,86,7.22284254,298,good
banana,26,95,15.25176672,309,good
tomato,24,95,14.67251295,315,bad
pineapple,25,95,11.14266773,317,bad
tomato,23,90,13.12676612,336,good
orange,22,95,7.404343951,361,good
pineapple,24,95,6.698275399,437,bad
tomato,26,84,8.415248038,405,good
tomato,24,76,17.69401633,459,good
orange,22,95,6.446808067,282,good
tomato,25,95,15.67848238,315,bad
pineapple,24,95,13.95754575,316,good
orange,23,95,17.5009837,408,bad
pineapple,24,95,13.95754575,336,good
pineapple,23,95,12.34050263,325,good
tomato,25,95,15.42113219,406,bad
pineapple,24,95,14.1136139,302,good
tomato,24,95,11.59594835,365,good
pineapple,24,95,13.88010234,402,bad
tomato,25,93,6.48823229,410,good
tomato,25,93,6.529850053,394,good
tomato,23,89,8.264637967,297,good
pineapple,24,95,14.1136139,345,good
banana,25,86,13.80304952,348,good
tomato,25,95,13.3488037,377,bad
pineapple,24,95,14.03538213,330,good
tomato,25,95,15.33623116,385,bad
orange,22,95,6.405576451,255,good
orange,24,95,15.67848238,257,bad
banana,26,90,19.00030193,384,good
banana,24,95,16.47502321,250,bad
orange,23,95,15.85228317,257,bad
pineapple,25,95,14.35070581,407,bad
orange,23,95,17.12100442,248,bad
orange,23,95,13.88010234,246,bad
pineapple,22,90,12.83585424,333,good
orange,23,95,14.51078894,213,bad
tomato,22,92,11.14266773,353,good
tomato,25,95,12.83585424,371,bad
tomato,23,87,5.925488904,282,good
banana,24,95,12.27113269,256,bad
pineapple,22,95,12.62144823,322,good
orange,23,95,19.95991509,342,bad
banana,26,90,19.20950925,400,good
orange,22,95,4.870193845,346,good
tomato,24,89,13.80304952,393,good
pineapple,24,95,14.1136139,301,good
orange,23,95,16.56585884,247,bad
orange,23,95,4.570643409,335,good
banana,24,95,12.41021712,252,bad
tomato,25,95,12.76402932,300,bad
tomato,24,88,10.40069682,244,good
orange,22,95,7.044707922,301,good
tomato,23,88,7.825388265,295,good
pineapple,25,95,11.39978246,344,bad
banana,26,94,15.50647254,306,good
tomato,24,89,8.165410187,289,good
orange,22,95,8.264637967,369,good
tomato,26,83,8.165410187,425,good
orange,22,95,7.0889296,297,good
pineapple,23,84,12.62144823,346,good
orange,22,95,7.358649263,357,good
tomato,23,90,12.69256136,312,good
orange,23,95,15.76515749,424,bad
tomato,24,89,13.80304952,406,good
tomato,23,93,11.01598084,391,good
orange,22,95,8.214906999,371,good
pineapple,25,95,9.929454577,314,bad
tomato,26,91,6.446808067,391,good
pineapple,22,95,12.76402932,328,good
orange,23,95,15.59225501,403,bad
tomato,25,93,6.529850053,395,good
banana,24,94,19.74258151,322,good
tomato,24,89,13.49869706,403,good
tomato,24,93,11.20647613,373,good
tomato,25,95,15.85228317,310,bad
tomato,23,89,7.313168177,291,good
pineapple,25,95,11.53023895,317,bad
orange,22,95,9.201267821,180,good
tomato,24,89,13.42356205,401,good
banana,24,95,12.41021712,256,bad
orange,23,95,15.76515749,256,bad
orange,23,95,14.75399666,376,bad
orange,23,95,15.16773612,394,bad
pineapple,22,89,12.69256136,322,good
orange,22,95,7.873279406,163,good
orange,24,95,14.75399666,406,bad
banana,24,88,14.67251295,322,good
tomato,24,95,15.93986231,340,bad
banana,26,90,19.74258151,375,good
orange,23,95,14.83589827,218,bad
tomato,22,92,10.16280412,357,good
orange,22,95,6.242557594,245,good
orange,23,95,7.542720421,299,good
orange,22,95,5.43477585,303,good
orange,23,95,7.873279406,177,good
tomato,26,87,7.730278953,402,good
pineapple,25,95,12.34050263,409,bad
banana,24,95,16.93400512,258,bad
tomato,23,90,12.48027818,308,good
tomato,22,91,10.28117628,361,good
tomato,25,93,6.446808067,403,good
pineapple,22,90,12.41021712,321,good
pineapple,24,95,14.03538213,310,good
tomato,22,93,11.59594835,356,good
pineapple,23,95,13.12676612,358,good
tomato,23,90,12.55068787,326,good
orange,22,95,6.162179985,266,good
pineapple,23,95,12.27113269,326,good
banana,26,94,15.25176672,307,good
banana,24,95,15.50647254,251,bad
orange,23,95,8.364807255,174,good
banana,24,95,16.93400512,253,bad
orange,22,95,8.018312629,177,good
pineapple,25,95,10.04556771,306,bad
pineapple,25,95,10.16280412,357,bad
tomato,24,89,12.90803823,336,good
pineapple,22,81,12.69256136,343,good
pineapple,25,95,10.76627794,291,bad
orange,24,95,15.67848238,399,bad
orange,22,95,6.655874013,253,good
orange,23,95,14.59144457,360,bad
tomato,25,95,14.19224347,383,bad
orange,22,95,5.042126986,357,good
banana,24,95,19.20950925,306,bad
pineapple,25,95,11.14266773,310,bad
tomato,24,89,13.72638492,400,good
orange,23,95,8.214906999,179,good
orange,23,95,15.93986231,254,bad
tomato,23,91,8.31460431,372,good
pineapple,25,95,10.10404473,294,bad
pineapple,23,85,12.69256136,332,good
pineapple,25,95,10.04556771,288,bad
orange,23,95,5.398243871,360,good
tomato,24,95,11.99705843,367,good
orange,22,95,7.589280351,300,good
orange,22,95,7.404343951,360,good
orange,22,95,9.8718154,360,good
pineapple,25,95,11.07916988,308,bad
banana,24,95,17.88911347,257,bad
orange,23,95,17.21524677,257,bad
tomato,25,95,15.50647254,320,bad
tomato,25,95,15.50647254,391,bad
banana,24,88,15.00096563,322,good
banana,26,94,14.1136139,306,good
banana,26,91,20.06947764,301,good
orange,22,95,6.698275399,248,good
orange,22,95,6.162179985,244,good
banana,25,89,18.89654455,387,good
pineapple,25,95,11.01598084,295,bad
orange,23,95,4.570643409,343,good
tomato,24,95,16.56585884,358,bad
pineapple,25,95,10.16280412,308,bad
orange,24,95,14.91822038,368,bad
orange,23,95,6.446808067,253,good
tomato,24,95,12.98058343,302,bad
tomato,24,91,8.364807255,360,good
tomato,23,90,12.90803823,321,good
pineapple,24,95,11.66198098,434,bad
orange,24,95,15.50647254,380,bad
pineapple,22,95,12.83585424,341,good
pineapple,24,95,13.88010234,319,good
pineapple,24,95,14.19224347,309,good
tomato,26,93,6.48823229,408,good
banana,24,95,16.11639251,250,bad
pineapple,25,95,9.929454577,310,bad
pineapple,25,95,11.53023895,334,bad
banana,24,95,20.17964285,321,good
banana,24,95,17.30998858,263,bad
orange,23,95,15.08413665,217,bad
orange,24,95,14.75399666,373,bad
pineapple,24,95,14.1136139,304,good
orange,23,95,15.67848238,252,bad
banana,25,87,14.1136139,327,good
tomato,24,95,14.83589827,316,bad
pineapple,23,95,12.90803823,343,good
pineapple,25,95,9.814452454,327,bad
tomato,23,90,12.90803823,328,good
tomato,24,95,12.90803823,302,bad
banana,24,95,17.12100442,249,bad
pineapple,25,95,9.987371503,349,bad
orange,24,95,16.02789778,379,bad
orange,23,95,15.93986231,257,bad
orange,22,95,10.22184745,205,good
orange,23,95,14.83589827,213,bad
orange,22,95,6.364536513,251,good
orange,22,95,6.446808067,254,good
banana,25,86,18.48706888,395,good
orange,22,95,7.000692513,300,good
orange,23,95,14.83589827,216,bad
banana,24,95,15.85228317,250,bad
pineapple,22,95,12.76402932,332,good
orange,22,95,5.007419045,354,good
pineapple,25,95,9.8718154,306,bad
orange,22,95,4.802535216,341,good
orange,22,95,6.202275223,254,good
banana,24,95,12.20210529,250,bad
tomato,25,95,7.730278953,199,good
orange,22,95,7.404343951,354,good
tomato,24,94,11.14266773,390,good
tomato,23,91,13.12676612,335,good
orange,22,95,6.740875089,256,good
orange,23,95,16.65717174,244,bad
tomato,23,95,14.43054353,312,bad
tomato,23,89,12.76402932,349,good
tomato,23,91,9.757364232,359,good
tomato,23,91,8.214906999,370,good
orange,22,95,7.404343951,353,good
orange,23,85,4.22124279,325,good
banana,25,89,19.63480231,395,good
tomato,24,89,13.80304952,398,good
banana,24,95,12.41021712,243,bad
orange,23,95,20.06947764,331,bad
tomato,25,95,16.02789778,328,bad
tomato,25,95,15.76515749,321,bad
tomato,23,92,10.52137857,356,good
orange,24,95,14.67251295,399,bad
tomato,23,90,12.83585424,330,good
pineapple,22,95,12.69256136,338,good
banana,26,90,19.20950925,385,good
tomato,25,95,15.67848238,313,bad
pineapple,25,95,13.72638492,397,bad
pineapple,24,95,14.1136139,343,good
orange,23,92,4.870193845,343,good
pineapple,25,95,11.20647613,313,bad
pineapple,24,95,13.12676612,329,good
pineapple,25,95,11.27059687,292,bad
pineapple,25,95,11.14266773,301,bad
banana,24,95,20.51379641,323,good
tomato,23,89,8.0671142,301,good
orange,24,95,15.33623116,375,bad
tomato,25,95,12.98058343,378,bad
tomato,23,90,12.90803823,329,good
tomato,23,88,7.358649263,296,good
banana,26,90,19.63480231,399,good
tomato,26,88,7.22284254,390,good
tomato,23,88,7.177995872,288,good
orange,23,95,7.542720421,300,good
banana,24,87,13.65010619,336,good
orange,22,95,8.31460431,371,good
pineapple,25,95,11.20647613,294,bad
tomato,23,91,13.80304952,327,good
tomato,23,90,12.83585424,328,good
tomato,23,89,7.683058499,295,good
orange,23,95,8.31460431,176,good
tomato,25,95,13.80304952,365,bad
pineapple,22,95,12.62144823,339,good
pineapple,22,93,12.62144823,341,good
tomato,23,95,11.99705843,373,good
banana,24,95,17.02725828,248,bad
tomato,24,95,12.27113269,372,good
orange,23,95,16.74896501,247,bad
banana,24,95,11.66198098,42,bad
banana,24,95,16.93400512,254,bad
orange,22,95,6.529850053,292,good
pineapple,25,95,9.8718154,332,bad
tomato,24,95,12.20210529,360,good
tomato,23,89,8.214906999,301,good
